#Variables:
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp45(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 47.6044 Latitude, -122.3139 Longitude (closest value to Latitude:47.6062, Longitude:-122.3321) "
#Original Data File(s):
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K)"
""
yyyy-mm-dd,tasmax_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K)
2006-01-01,281.020569,275.845093
2006-01-02,281.805878,275.404877
2006-01-03,283.861542,273.148682
2006-01-04,284.816742,277.376526
2006-01-05,285.569946,278.696808
2006-01-06,284.397034,276.367584
2006-01-07,284.762543,276.901276
2006-01-08,284.767426,281.808746
2006-01-09,282.724823,277.592560
2006-01-10,281.328491,272.798645
2006-01-11,281.572479,276.252228
2006-01-12,283.199524,276.275146
2006-01-13,282.281921,276.324493
2006-01-14,283.413269,276.268036
2006-01-15,283.860626,278.084503
2006-01-16,283.574432,279.331329
2006-01-17,280.175232,277.704041
2006-01-18,281.654144,276.440674
2006-01-19,281.233795,275.139923
2006-01-20,281.544800,274.297729
2006-01-21,281.826538,276.954193
2006-01-22,280.321259,277.857666
2006-01-23,280.016418,277.548340
2006-01-24,281.239777,271.905212
2006-01-25,278.276093,271.077362
2006-01-26,277.300049,270.028900
2006-01-27,277.673126,269.661438
2006-01-28,277.714905,270.844482
2006-01-29,278.368652,271.932953
2006-01-30,278.769958,272.793365
2006-01-31,279.854523,272.625549
2006-02-01,280.132141,272.285522
2006-02-02,281.683533,273.358734
2006-02-03,281.833313,275.659210
2006-02-04,284.518860,277.517487
2006-02-05,281.457428,274.567963
2006-02-06,283.149567,275.292267
2006-02-07,281.067078,277.315887
2006-02-08,282.404358,277.239471
2006-02-09,281.666992,277.719910
2006-02-10,281.849609,278.434479
2006-02-11,283.654724,278.862183
2006-02-12,284.507782,278.871155
2006-02-13,283.097076,278.358521
2006-02-14,283.207611,276.888702
2006-02-15,282.264465,273.853302
2006-02-16,284.752380,276.929047
2006-02-17,281.943726,277.196777
2006-02-18,283.055939,277.956665
2006-02-19,285.159119,276.432129
2006-02-20,286.635406,282.537445
2006-02-21,283.667603,276.441803
2006-02-22,282.945190,275.185333
2006-02-23,282.711487,274.863983
2006-02-24,282.940033,273.879547
2006-02-25,282.951202,274.027588
2006-02-26,282.459686,274.532288
2006-02-27,282.083588,274.582062
2006-02-28,282.446838,274.854767
2006-03-01,282.653168,278.460510
2006-03-02,283.997925,277.422852
2006-03-03,284.687164,277.872803
2006-03-04,283.808411,276.757507
2006-03-05,283.707397,276.681732
2006-03-06,285.957977,279.444489
2006-03-07,286.233276,276.963165
2006-03-08,285.235077,277.303833
2006-03-09,287.412476,277.939392
2006-03-10,285.667969,277.465393
2006-03-11,287.923035,277.871216
2006-03-12,288.674011,276.770325
2006-03-13,288.988251,278.730377
2006-03-14,290.127167,282.213104
2006-03-15,288.988251,282.393982
2006-03-16,290.962921,280.120148
2006-03-17,284.841095,278.970825
2006-03-18,285.954803,278.580353
2006-03-19,286.153992,279.067657
2006-03-20,286.357025,279.322113
2006-03-21,287.174774,277.914948
2006-03-22,286.651794,276.991516
2006-03-23,291.530365,277.943542
2006-03-24,290.524139,279.456512
2006-03-25,290.880981,279.315552
2006-03-26,290.854126,277.486237
2006-03-27,288.419312,276.137634
2006-03-28,283.619171,276.063538
2006-03-29,283.807281,275.827698
2006-03-30,283.756805,276.644073
2006-03-31,284.568542,276.462799
2006-04-01,283.702820,276.127747
2006-04-02,282.431610,275.458649
2006-04-03,283.399445,276.941406
2006-04-04,284.532745,277.309723
2006-04-05,284.723083,275.830017
2006-04-06,283.916840,276.329742
2006-04-07,283.078918,278.736786
2006-04-08,284.030975,278.603699
2006-04-09,287.086395,277.128448
2006-04-10,285.178314,276.530609
2006-04-11,285.667450,276.092804
2006-04-12,287.513519,277.011047
2006-04-13,289.421600,278.222839
2006-04-14,288.024445,279.195923
2006-04-15,288.940765,280.025024
2006-04-16,289.936798,279.411316
2006-04-17,290.122314,278.991821
2006-04-18,288.690002,277.142578
2006-04-19,290.663391,280.194244
2006-04-20,293.084808,279.768799
2006-04-21,292.542816,280.916351
2006-04-22,292.280884,280.936554
2006-04-23,290.346924,281.269775
2006-04-24,285.935242,279.604462
2006-04-25,288.549652,280.279083
2006-04-26,287.430573,278.612885
2006-04-27,287.551239,279.888550
2006-04-28,287.416901,277.514771
2006-04-29,288.676971,278.504456
2006-04-30,291.361267,280.901276
2006-05-01,293.103607,281.083649
2006-05-02,294.688599,283.530365
2006-05-03,294.688904,284.479675
2006-05-04,290.543701,283.197479
2006-05-05,285.658295,279.495972
2006-05-06,290.167938,282.967438
2006-05-07,295.877350,284.189423
2006-05-08,296.245941,284.367279
2006-05-09,292.460999,281.933472
2006-05-10,287.205811,280.724945
2006-05-11,292.663330,282.342102
2006-05-12,295.886139,285.215118
2006-05-13,293.055634,284.934052
2006-05-14,292.332642,284.504395
2006-05-15,292.181305,282.394165
2006-05-16,294.471497,284.270905
2006-05-17,294.287720,285.204498
2006-05-18,290.970428,283.092987
2006-05-19,294.867798,283.553619
2006-05-20,296.023071,283.965179
2006-05-21,296.340912,283.987335
2006-05-22,295.929321,283.592896
2006-05-23,295.591064,283.317810
2006-05-24,296.589874,283.864532
2006-05-25,297.528595,285.347137
2006-05-26,298.012115,286.528564
2006-05-27,295.556213,282.980865
2006-05-28,297.112488,282.555939
2006-05-29,300.594269,287.709412
2006-05-30,304.648163,289.083832
2006-05-31,302.751007,289.287476
2006-06-01,302.876312,287.943695
2006-06-02,293.979462,284.104126
2006-06-03,296.442902,284.110016
2006-06-04,297.036377,286.380524
